fullNames,postDates,starRatings,postReviews,totalReviews,aggregateRating
Feedback,10 months ago,1,"After walk in and do consultation. Haven’t start to do anything. Then the next day, the clinic block my WhatsApp and unable to call anymore. Seem like the clinic’s doctor not confident to provide best service to the patient and afraid …",27,4.6
chong sherry,a year ago,5,first time visit. friendly staff and professional doctor. great services. value for money. highly recommended.,27,4.6
Joel Pang,a year ago,5,"Strongly advice, good service, value for money. Good doctor, friendly staff, comfortable environment. Definitely will go again.",27,4.6
N D,a year ago,2,"I took up their recent promotion and did lip fillers. 
The staff was friendly. During the consultation I pointed out the points that I hope to achieve and what I don’t like about my current lips and I hope the fillers could even out.

It’s …",27,4.6
Goh Dong Yang,a year ago,5,"Good place, nice service, dedicated doctor, friendly staff. Good result at affordable cost. Strongly suggest.",27,4.6
tang venus,a year ago,5,"very good skill by dr wee, injection not painful, very friendly nurse. 
price is reasonable, treatment is definitely value for money.",27,4.6
wen xin,a year ago,5,"friendly staff, comfortable environment, great treatment by dr wee and the team. will recommend my friend come.",27,4.6
ang susan,a year ago,5,good environment and professional doctor service. definitely will come again,27,4.6
Chai Joanne,a year ago,1,"I did facial at this place.
Omg damn bad service here.
They anyhow use cleansing foam clean my face? Which I can do it myself.
After put mask, they dun even clean my facial well. Still got mask on my face surface.
Now My face feel itchy, can feel that my face got some waste? This was my first time and last here.",27,4.6
foo weiting,a year ago,5,Excellent service by dr wee and the team. value for money.,27,4.6
lee panny,a year ago,5,"received treatment at this clinic, kind doctor, friendly staff, reasonable price, strongly recommended. 
thank you dr wee and the team :)",27,4.6
wen xiao,a year ago,5,great service by dr wee and the team.,27,4.6
wee phobe,a year ago,5,friendly staff and comfortable environment. thank you,27,4.6
41563 NING,a year ago,5,THANK YOU. GOOD SERVICE,27,4.6
christine lim,a year ago,5,cozy environment and good services,27,4.6
elaine ng,a year ago,5,great doctor,27,4.6
ethelene ng,a year ago,5,nice service,27,4.6
chen Joan,a year ago,5,"(Translated by Google) All prices are reasonable and guaranteed. Will not push you to buy things all the time. Will only introduce what you need. The environment is very comfortable. The doctor is very nice.

(Original)
所有价钱都很合理而且保证效果。 不会一直推你买东西。 只会介绍你需要的。 环境很舒服。 医生人很好。",27,4.6
Keely Hong,a year ago,5,"(Translated by Google) The doctor is very good, the handwork is very careful, and the injection will not hurt. The assistants are also very friendly. Will not always sell you things. feels good. The effect is also very good. Recommended

(Original)
医生人很好，手工也很细心，打针不会疼。 助理们也很友善。不会一直推销你东西。 感觉很棒。效果也很好。 值得推荐",27,4.6
ong Lesly,a year ago,5,"(Translated by Google) The consultation here is very comfortable, the doctor is very good, I will recommend the treatment that suits me, and I won't ask you to buy it. The price is also very reasonable. The effect is great.

(Original)
在这边咨询很舒服，医生人很好，会建议适合自己的治疗，不会什么到要求你买。 价格也很合理。 效果很棒。",27,4.6
tang nicole,a year ago,5,"(Translated by Google) Like the environment and treatment here, the whole process is not tense, the doctor will carefully explain the whole project process. It won't make you feel nervous. recommend.

(Original)
喜欢这边的环境和治疗， 整个过程也不紧张，医生会细心的解释整个项目过程。 不会让你觉得紧张。 推荐。",27,4.6
Joanne Chen CSSB,a year ago,5,"(Translated by Google) Very recommended conscience doctor. fair price. In addition to medical beauty, ordinary burns, wind, cough, he has to see.

(Original)
非常推荐的良心医生。价钱公道。除了医美普通发烧伤风咳嗽他都有看哦。",27,4.6
tan Tiffany,a year ago,5,"(Translated by Google) The first time I came, the environment was very good and the price was very reasonable. Will not be hard sales. Will analyze and explain the care you need. Great value.

(Original)
第一次过来，环境很好，价钱也很合理。不会hard sales。 会分析和讲解需要的护理。超值。",27,4.6
Noy Dutch,3 months ago,5,,27,4.6
chianchuan wee,a year ago,5,,27,4.6
Wen Xin,10 months ago,5,,27,4.6
corrine Dee,a year ago,5,,27,4.6
