fullNames,postDates,starRatings,postReviews,totalReviews,aggregateRating
Lay See Lee,a month ago,5,had been doctor lim with very good results for my difficult immunological condition for a few years. the doctor is very patient and takes the trouble to explain everything to me. I am very glad he is here to help us I feel he is the most …,177,4.0
Pink Roses,4 days ago,1,"The worst skin clinic i have been to. If u have eczema or any skin conditions, pls be careful with the prescriptions that this doctor prescribes. I developed tsw(topical steroid withdrawal) after using steroid creams that he prescribed …",177,4.0
Marcus Yeo,4 days ago,1,"call never answer. what kind of clinic can't even ask info or make appointment
hire more ppl please",177,4.0
Mohd Irfan,a month ago,5,"Friendly staff and doctors...even with a full house patient, the waiting time is still bearable...fast and effective consultation",177,4.0
Celina Ng,a month ago,5,"Highly recommended Dr Lim to anyone Who is looking for a dermatologist ! Reasonable price For such an experienced, highly qualified & caring doctor.",177,4.0
Azmina Ismail,7 months ago,5,Doctor lim a is very genuine and kind person . He is such an experienced doctor and explains everything clearly . His products are all in a reasonable price . Plus his medicine and cream are very effective .,177,4.0
Vijaya learning center,8 months ago,5,One stop solution for my psoriasis. Thank you very much. Highly recommended.,177,4.0
yuan yuan,6 months ago,1,"Make appointment at 11.15 am still need to wait like hell ?!?!? Exo me ?? Everyone’s time is precious ok ! If make appointment still need to wait , what’s purpose for appointment ??",177,4.0
Geoff Gentil,a year ago,5,"Simply amazing surgery on the Basel Cell Carcinoma on my upper lip. 
Other specialists had recommended a skin graft but Prof/Dr Lim was able to remove the cancer and stitch up without a noticeable scar.
Highly recommended skin specialist with efficient and friendly staff and nurses. Thank you.",177,4.0
Siti Halijah,6 months ago,5,Dato Dr Lim is a warm  and friendly person and the best Dr I have ever met.,177,4.0
Yogi C,a year ago,5,"Excellent doctor highly recommended for Caucasian skin. I'm 100% satisfied with the laser treatment 👍
Be patient when you get there and remember it worth it, he is unbeatable excellent",177,4.0
pash azahah,a year ago,4,Highly recommended doctor! But the receptionist should be alert with who came first though. Ive waited around 2 hours even when giving the medicine also they takes time around 30 minutes lol. Luckily it worth the wait.,177,4.0
Ka Sing Lau,a year ago,5,Dr Lim is really good. My whole face so much better after laser only one time. Already in my sixties but should have done it earlier. My wife also very happy. Had to wait some time and reception very busy but same like when I go see my hospital doctors so I don’t mind,177,4.0
Belinda Thalasingam,a year ago,5,Am writing for my mum. She is so happy that her big black patches over her face are finally gone! Thank you so much. She is so happy that she doesn’t even have to wear makeup anymore. Am so happy for my mum that she is so much more confident now.,177,4.0
Peter Knox,a year ago,1,Trying to be diplomatic but the experience is much like being a chicken in a chicken processing plant. Agreed to a procedure and medications and the quote seemed off the top of head without any breakdown or calculation. The procedure was …,177,4.0
gary student,a year ago,1,"This clinic will try to keep you coming back for their creams to make money, the name of the prescription creams are not given. There are better dermatologists elsewhere in Penang.",177,4.0
Nava,a year ago,5,"Very good n I am very happy with my results! 
My skin has improved dramatically.",177,4.0
Jake Lo,a year ago,1,"My friend went to buy medication for his mum and the lady at the receptions counter gave him a piece of paper, and said to write down a name and number, then when my friend tried to ask what kind of number she snapped and went ""don't …",177,4.0
W Tan,2 years ago,5,Wow I am amazed at how Dr Lim remains so calm and helpful after such a busy day. Very grateful for the great care as I have seen so many doctors already. I know my condition is chronic but it is the best it has ever been.  Had to wait for …,177,4.0
Lynn G.,a year ago,5,Couldn't have had a better outcome with the results of my procedures. Highly recommend Dr Lim!,177,4.0
fattyrambo,7 months ago,1,"5 hours waiting time just to see the doctor in a small cramped clinic, finding a parking spot is a nightmare",177,4.0
y c,a year ago,3,doctor is very great and the medication given to me works very well. i have oily acne prone skin and my skin cleared up after using the creams and toner for about 3 months. i came from abroad occasionally to purchase some of the creams. …,177,4.0
Cindy Cheah,a year ago,5,I so lucky to see Dr Lim Shueh Wei. He also immunologist specialist and my skin rash finally become good. I saw many skin doctors before but all didn’t know what I have. I finally feel better and have very great confidence in Dr Lim.,177,4.0
Edy Tan,a year ago,5,My family and I were very very itchy. Cannot tahan at all. We see many many doctors and finally see Dr Lim. He saved all of us. We had scabies! Thank you for the super creams that cure everything. My poor daughter have many black marks from scratching and now all clear.,177,4.0
Zubaidah md ismail,2 years ago,5,I recommend those with pigmentation problems to see the doctors here. It was very effective for me. I had bad pigmentaion problem on my nose & cheeks. My skin tone was uneven. After 2 laser treatments & topical applications my skin is now …,177,4.0
zairinda hasnan,2 years ago,2,"The registration system is very poor. We waited more than 2 hours, some of them came later but can cut que with a reason they already dropped the card before 9am. This clinic should use registration with a numbering system! So fair to all.. please improve..doctors are good.",177,4.0
ram iseeudrive,7 months ago,1,"terrible clinic that is unfair which let a selfish lady go in 1st to see DR after complaining about the waiting time and appointment saying she has no time to wait, she came 1 hour later than us, after she saw the DR, the lady didn't pay …",177,4.0
